dates,WOPR:PRO1,WWPR:PRO1,WOPR:PRO2,WWPR:PRO2,WOPR:PRO3,WWPR:PRO3,WWIR:INJ1
2023-02-05,"['abs', 64714.51555940867]","['abs', 2.5e-05]","['abs', 53006.20364159585]","['abs', 2.5e-05]","['abs', 75572.02344114544]","['abs', 2.5e-05]","['abs', 228295.31299497845]"
2024-03-11,"['abs', 72005.52490141928]","['abs', 2.5e-05]","['abs', 59489.10357463897]","['abs', 2.5e-05]","['abs', 84904.68326119422]","['abs', 2.5e-05]","['abs', 232533.7455611825]"
2025-04-15,"['abs', 74420.87898800136]","['abs', 0.0029635718717032945]","['abs', 62011.39569939673]","['abs', 2.5e-05]","['abs', 88789.40616603433]","['abs', 2.5e-05]","['abs', 234231.7060986424]"
2026-05-20,"['abs', 74611.04253666938]","['abs', 0.09251302936114372]","['abs', 63107.241773977876]","['abs', 0.0007906031215186094]","['abs', 90782.60214096308]","['abs', 2.5e-05]","['abs', 234865.08211899758]"
2027-06-24,"['abs', 72723.10451214077]","['abs', 1.3532305885950429]","['abs', 63461.174605322485]","['abs', 0.013603748416790611]","['abs', 91984.77374912798]","['abs', 0.00016005909757269346]","['abs', 233902.86990098003]"
2028-07-28,"['abs', 68082.18687784435]","['abs', 12.463081029571041]","['abs', 63341.70655803919]","['abs', 0.14424784817602815]","['abs', 92835.3355427766]","['abs', 0.0016736278241652608]","['abs', 230388.84388504986]"
2029-09-01,"['abs', 59420.88245888293]","['abs', 82.06356681084495]","['abs', 62875.476794462804]","['abs', 1.120348366509652]","['abs', 93673.44690725567]","['abs', 0.012652009782756438]","['abs', 223720.96276749615]"
2030-10-06,"['abs', 48049.90297704935]","['abs', 472.5608325339854]","['abs', 61308.383524160985]","['abs', 7.005920003679094]","['abs', 94415.72009954992]","['abs', 0.07597206624582725]","['abs', 214715.6213507867]"
2031-11-10,"['abs', 37061.043856203556]","['abs', 1799.204850735106]","['abs', 57011.8800444752]","['abs', 32.43802708799253]","['abs', 94799.04237365723]","['abs', 0.38099257542716264]","['abs', 205006.57133285762]"
2032-12-14,"['abs', 28670.046089086034]","['abs', 4556.822680347599]","['abs', 49997.92515309535]","['abs', 153.62188954786924]","['abs', 94529.79603996516]","['abs', 1.6433666978100612]","['abs', 196207.7551467857]"
